Row Name,ShouldUse,RelativeUsageQuantity
Johnson,TRUE,1
Smith,TRUE,1
Carhardt,TRUE,1
Featherington,TRUE,1
Pennyworth,TRUE,1
Chittering,TRUE,1
Anderson,TRUE,1
Felix,TRUE,1
Crowley,TRUE,1
Granger,TRUE,1
Quantis,TRUE,1
Finch,TRUE,1
Wolander,TRUE,1
Elrick,TRUE,1
Brown,TRUE,1
Ristarin,TRUE,1
Tonderly,TRUE,1
Yampers,TRUE,1
Fig,TRUE,1
Umplina,TRUE,1
Ittle,TRUE,1
Heatherway,TRUE,1
Applebaum,TRUE,1
Olpington,TRUE,1
Purst,TRUE,1
Pintock,TRUE,1
Twentyman,TRUE,1
Ashrington,TRUE,1
Sherberly,TRUE,1
Tobson,TRUE,1
Draymore,TRUE,1
Farrowaithe,TRUE,1
Greapsom,TRUE,1
Halloway,TRUE,1
Jesperson,TRUE,1
Knowle,TRUE,1
Loviathe,TRUE,1
Zherkin,TRUE,1
Xervin,TRUE,1
Crastor,TRUE,1
Vultus,TRUE,1
Burpleton,TRUE,1
Newton,TRUE,1
Merlister,TRUE,1
